Chain_ID,Chain_Name,Step_Number,Total_Steps_In_Chain,Disease_At_This_Step,Next_Disease_In_Progression,Avg_Years_To_Next_Disease,Cumulative_Years_From_Chain_Start,Biological_Mechanism,Evidence_Source,Key_Risk_Factors,Is_First_Disease,Is_Last_Disease
CHAIN_001,Obesity → Diabetes → Hypertension → Stroke,1,4,Obesity,Type 2 Diabetes,3,0.0,"Insulin resistance from obesity drives T2DM; chronic hyperglycemia and dyslipidemia damage vessels causing hypertension, then cerebrovascular event",Denmark 6.2M patient study; PubMed PMID:35306857,"Age>40, BMI>30, sedentary lifestyle",Yes,No
CHAIN_001,Obesity → Diabetes → Hypertension → Stroke,2,4,Type 2 Diabetes,Hypertension,4,3.0,"Insulin resistance from obesity drives T2DM; chronic hyperglycemia and dyslipidemia damage vessels causing hypertension, then cerebrovascular event",Denmark 6.2M patient study; PubMed PMID:35306857,"Age>40, BMI>30, sedentary lifestyle",No,No
CHAIN_001,Obesity → Diabetes → Hypertension → Stroke,3,4,Hypertension,Stroke,5,7.0,"Insulin resistance from obesity drives T2DM; chronic hyperglycemia and dyslipidemia damage vessels causing hypertension, then cerebrovascular event",Denmark 6.2M patient study; PubMed PMID:35306857,"Age>40, BMI>30, sedentary lifestyle",No,No
CHAIN_001,Obesity → Diabetes → Hypertension → Stroke,4,4,Stroke,End of trajectory,—,12.0,"Insulin resistance from obesity drives T2DM; chronic hyperglycemia and dyslipidemia damage vessels causing hypertension, then cerebrovascular event",Denmark 6.2M patient study; PubMed PMID:35306857,"Age>40, BMI>30, sedentary lifestyle",No,Yes
CHAIN_002,Obesity → Type 2 Diabetes → Diabetic Kidney Disease → Chronic Kidney Disease → Kidney Failure,1,5,Obesity,Type 2 Diabetes,3,0.0,Hyperglycemia → glomerular hyperfiltration → proteinuria → CKD → ESRD. Seen in 40% of T2DM patients over 20 years,Nature Communications 2014; WHO chronic kidney disease trajectory,"Poor glycemic control, hypertension, family history",Yes,No
CHAIN_002,Obesity → Type 2 Diabetes → Diabetic Kidney Disease → Chronic Kidney Disease → Kidney Failure,2,5,Type 2 Diabetes,Diabetic Kidney Disease,5,3.0,Hyperglycemia → glomerular hyperfiltration → proteinuria → CKD → ESRD. Seen in 40% of T2DM patients over 20 years,Nature Communications 2014; WHO chronic kidney disease trajectory,"Poor glycemic control, hypertension, family history",No,No
CHAIN_002,Obesity → Type 2 Diabetes → Diabetic Kidney Disease → Chronic Kidney Disease → Kidney Failure,3,5,Diabetic Kidney Disease,Chronic Kidney Disease,4,8.0,Hyperglycemia → glomerular hyperfiltration → proteinuria → CKD → ESRD. Seen in 40% of T2DM patients over 20 years,Nature Communications 2014; WHO chronic kidney disease trajectory,"Poor glycemic control, hypertension, family history",No,No
CHAIN_002,Obesity → Type 2 Diabetes → Diabetic Kidney Disease → Chronic Kidney Disease → Kidney Failure,4,5,Chronic Kidney Disease,Kidney Failure,3,12.0,Hyperglycemia → glomerular hyperfiltration → proteinuria → CKD → ESRD. Seen in 40% of T2DM patients over 20 years,Nature Communications 2014; WHO chronic kidney disease trajectory,"Poor glycemic control, hypertension, family history",No,No
CHAIN_002,Obesity → Type 2 Diabetes → Diabetic Kidney Disease → Chronic Kidney Disease → Kidney Failure,5,5,Kidney Failure,End of trajectory,—,15.0,Hyperglycemia → glomerular hyperfiltration → proteinuria → CKD → ESRD. Seen in 40% of T2DM patients over 20 years,Nature Communications 2014; WHO chronic kidney disease trajectory,"Poor glycemic control, hypertension, family history",No,Yes
CHAIN_003,Obesity → Hypertension → Hypertensive Heart Disease → Heart Block → Atrial Fibrillation,1,5,Obesity,Hypertension,4,0.0,Excess adiposity raises BP → left ventricular hypertrophy → conduction system fibrosis → arrhythmia,Lancet Digital Health multimorbidity study 2022,"Male sex, age>50, alcohol use, sleep apnea",Yes,No
CHAIN_003,Obesity → Hypertension → Hypertensive Heart Disease → Heart Block → Atrial Fibrillation,2,5,Hypertension,Hypertensive Heart Disease,5,4.0,Excess adiposity raises BP → left ventricular hypertrophy → conduction system fibrosis → arrhythmia,Lancet Digital Health multimorbidity study 2022,"Male sex, age>50, alcohol use, sleep apnea",No,No
